   -108.91597249      0.800      2.660100
   -108.96441928      0.810      2.469300
   -109.00937060      0.820      2.290000
   -109.05103725      0.830      2.121500
   -109.08961751      0.840      1.963300
   -109.12529791      0.850      1.814500
   -109.15825387      0.860      1.674800
   -109.18865025      0.870      1.543600
   -109.21664202      0.880      1.420200
   -109.24237492      0.890      1.304400
   -109.26598614      0.900      1.195600
   -109.28760486      0.910      1.093500
   -109.30735267      0.920      0.997600
   -109.32534397      0.930      0.907500
   -109.34168637      0.940      0.823000
   -109.35648106      0.950      0.743700
   -109.36982335      0.960      0.669200
   -109.38180302      0.970      0.599400
   -109.39250468      0.980      0.533900
   -109.40200809      0.990      0.472500
   -109.41038837      1.000      0.415000
   -109.41771623      1.010      0.361100
   -109.42405829      1.020      0.310600
   -109.42947728      1.030      0.263400
   -109.43403235      1.040      0.219200
   -109.43777929      1.050      0.177800
   -109.44077074      1.060      0.139200
   -109.44305631      1.070      0.103100
   -109.44468278      1.080      0.069400
   -109.44569425      1.090      0.038000
   -109.44613226      1.100      0.008700
   -109.44603597      1.110     -0.018600
   -109.44544228      1.120     -0.044000
   -109.44438603      1.130     -0.067500
   -109.44290002      1.140     -0.089500
   -109.44101524      1.150     -0.109800
   -109.43876088      1.160     -0.128600
   -109.43616446      1.170     -0.146000
   -109.43325193      1.180     -0.162100
   -109.43004769      1.190     -0.176900
   -109.42657473      1.200     -0.190500
   -109.42285468      1.210     -0.203000
   -109.41890788      1.220     -0.214500
   -109.41475349      1.230     -0.225000
   -109.41040952      1.240     -0.234600
   -109.40589293      1.250     -0.243300
   -109.40121966      1.260     -0.251200
   -109.39640470      1.270     -0.258300
   -109.39146210      1.280     -0.264700
   -109.38640504      1.290     -0.270400
   -109.38124584      1.300     -0.275500
   -109.37599603      1.310     -0.280000
   -109.37066642      1.320     -0.284000
   -109.36526709      1.330     -0.287400
   -109.35980751      1.340     -0.290300
   -109.35429655      1.350     -0.292800
   -109.34874249      1.360     -0.294900
   -109.34315306      1.370     -0.296600
   -109.33753549      1.380     -0.297900
   -109.33189646      1.390     -0.298900
   -109.32624222      1.400     -0.299500
   -109.32057854      1.410     -0.299900
   -109.31491076      1.420     -0.299900
   -109.30924387      1.430     -0.299800
   -109.30358248      1.440     -0.299400
   -109.29793088      1.450     -0.298700
   -109.29229306      1.460     -0.297900
   -109.28667271      1.470     -0.296900
   -109.28107325      1.480     -0.295700
   -109.27549779      1.490     -0.294400
   -109.26994922      1.500     -0.292900
   -109.26443018      1.510     -0.291200
   -109.25894307      1.520     -0.289500
   -109.25349008      1.530     -0.287600
   -109.24807322      1.540     -0.285700
   -109.24269431      1.550     -0.283600
   -109.23735504      1.560     -0.281500
   -109.23205692      1.570     -0.279300
   -109.22680133      1.580     -0.277000
   -109.22158952      1.590     -0.274600
   -109.21642260      1.600     -0.272200
   -109.21130158      1.610     -0.269800
   -109.20622733      1.620     -0.267300
   -109.20120061      1.630     -0.264700
   -109.19622211      1.640     -0.262200
   -109.19129239      1.650     -0.259600
   -109.18641195      1.660     -0.256900
   -109.18158122      1.670     -0.254300
   -109.17680053      1.680     -0.251700
   -109.17207019      1.690     -0.249000
   -109.16739042      1.700     -0.246300
   -109.16276140      1.710     -0.243600
   -109.15818325      1.720     -0.240900
   -109.15365605      1.730     -0.238200
   -109.14917983      1.740     -0.235500
   -109.14475458      1.750     -0.232800
   -109.14038023      1.760     -0.230100
   -109.13605671      1.770     -0.227400
   -109.13178388      1.780     -0.224800
   -109.12756160      1.790     -0.222100
   -109.12338968      1.800     -0.219400
